"DateTime","Final price","Historical low"
"2015-06-02 22:30:03",23.23,23.23
"2015-06-02 22:30:03",23.23,23.23
"2015-06-22 17:17:58",27.99,23.23
"2015-06-22 17:17:58",27.99,23.23
"2015-07-01 18:05:04",23.23,23.23
"2015-07-01 18:05:04",23.23,23.23
"2015-07-08 17:05:17",27.99,23.23
"2015-07-08 17:05:17",27.99,23.23
"2015-07-30 17:05:20",22.39,22.39
"2015-07-30 17:05:20",22.39,22.39
"2015-08-03 17:05:55",27.99,22.39
"2015-08-03 17:05:55",27.99,22.39
"2015-08-13 18:15:04",22.39,22.39
"2015-08-13 18:15:04",22.39,22.39
"2015-08-21 07:00:03",27.99,22.39
"2015-08-21 21:15:03",27.99,22.39
"2015-10-06 17:05:18",18.75,18.75
"2015-10-06 17:05:18",18.75,18.75
"2015-10-09 17:05:21",27.99,18.75
"2015-10-09 17:05:21",27.99,18.75
"2015-10-29 17:16:50",18.75,18.75
"2015-10-29 17:16:50",18.75,18.75
"2015-11-02 18:17:50",27.99,18.75
"2015-11-02 18:17:50",27.99,18.75
"2015-11-10 18:05:09",18.75,18.75
"2015-11-10 18:05:09",18.75,18.75
"2015-11-16 18:06:36",27.99,18.75
"2015-11-16 18:06:36",27.99,18.75
"2015-11-25 18:47:44",16.79,16.79
"2015-11-25 18:47:44",16.79,16.79
"2015-12-01 18:11:52",27.99,16.79
"2015-12-01 18:11:52",27.99,16.79
"2015-12-22 19:48:58",16.79,16.79
"2015-12-22 19:48:58",16.79,16.79
"2016-01-04 18:23:44",27.99,16.79
"2016-01-04 18:23:44",27.99,16.79
"2016-02-05 20:26:41",18.75,16.79
"2016-02-05 20:26:41",18.75,16.79
"2016-02-12 18:25:44",27.99,16.79
"2016-02-12 18:25:44",27.99,16.79
"2016-03-15 17:10:27",16.79,16.79
"2016-03-18 18:00:24",18.75,16.79
"2016-03-22 17:10:23",27.99,16.79
"2016-05-17 18:00:08",18.75,16.79
"2016-05-24 17:10:31",27.99,16.79
"2016-06-23 21:50:38",15.39,15.39
"2016-07-04 17:29:06",27.99,15.39
"2016-07-28 17:10:56",13.99,13.99
"2016-08-04 17:10:40",27.99,13.99
"2016-09-01 17:12:10",16.79,13.99
"2016-09-08 17:11:04",27.99,13.99
"2016-10-28 18:58:27",13.99,13.99
"2016-11-02 08:15:08",27.99,13.99
"2016-11-23 21:25:35",13.99,13.99
"2016-11-29 19:30:23",27.99,13.99
"2016-12-22 19:59:38",11.19,11.19
"2017-01-02 18:27:52",27.99,11.19
"2017-01-30 18:10:39",9.23,9.23
"2017-02-06 18:12:45",27.99,9.23
"2017-03-31 16:10:18",9.23,9.23
"2017-04-03 16:10:20",27.99,9.23
"2017-05-29 17:11:17",8.95,8.95
"2017-06-05 17:11:41",27.99,8.95
"2017-06-22 16:56:51",13.71,8.95
"2017-06-22 16:58:30",27.99,8.95
"2017-06-22 21:10:50",13.71,8.95
"2017-07-05 19:57:25",27.99,8.95
"2017-07-05 21:36:21",69.99,8.95
"2017-07-09 21:50:05",59.99,8.95
"2017-10-26 21:16:07",29.99,8.95
"2017-10-30 19:15:04",59.99,8.95
"2017-11-22 18:16:30",29.99,8.95
"2017-11-28 18:25:00",59.99,8.95
"2017-12-12 18:10:32",23.99,8.95
"2017-12-14 18:10:33",59.99,8.95
"2017-12-21 18:48:58",23.99,8.95
"2018-01-04 18:45:43",59.99,8.95
"2018-02-15 18:21:15",19.79,8.95
"2018-02-19 18:31:38",19.8,8.95
"2018-02-23 18:10:27",59.99,8.95
"2018-06-12 17:10:32",19.8,8.95
"2018-06-21 23:51:22",19.79,8.95
"2018-07-05 17:41:32",59.99,8.95
"2018-08-31 19:30:06",54.99,8.95
"2018-11-05 20:00:15",54.99,8.95
"2018-11-06 17:50:12",22,8.95
"2018-11-20 18:33:50",21.99,8.95
"2018-11-27 21:15:42",54.99,8.95
"2018-12-20 20:27:43",21.99,8.95
"2019-01-03 19:34:25",54.99,8.95
"2019-01-15 23:40:16",0,
"2019-01-16 00:13:20",54.99,8.95
"2019-02-04 19:27:30",21.99,8.95
"2019-02-11 21:41:13",54.99,8.95
"2019-03-04 18:25:24",21.99,8.95
"2019-03-11 17:25:33",54.99,8.95
"2019-04-17 01:20:10",21.99,8.95
"2019-05-01 07:10:10",54.99,8.95
"2019-06-18 17:10:13",19.25,8.95
"2019-06-25 19:13:50",19.24,8.95
"2019-07-09 19:30:33",54.99,8.95
"2019-08-01 17:10:13",19.24,8.95
"2019-08-15 17:00:37",54.99,8.95
"2019-10-29 16:10:16",19.24,8.95
"2019-11-01 17:19:39",54.99,8.95
"2019-11-10 16:38:23",19.24,8.95
"2019-11-12 16:42:54",54.99,8.95
"2019-11-26 18:09:12",19.24,8.95
"2019-12-03 18:12:28",54.99,8.95
"2019-12-19 18:08:04",16.49,8.95
